,PPI,PPI_mop1,PPI_mop2,PPI_mop3,PPI_life,CCPI,export,PMI_raw,PPI_expectation,mop_price,HBR_25,South_China,brent,WTI,CRB,LME_AL,cement,coal,copper,indproduct
2022/10/31,-2.2,-4.6,-1.6,-10.2,0.4,-3.987934844,2.2,53.3,-2.19,-13.49792231,-3.135442473,-5.90818872,-8.46125472,-10.15836863,-3.626804827,-2.256868199,-13.23880353,14.79397449,-5.054238141,-8.257987118
2022/11/30,0,-0.9,0.3,2.8,-0.2,0.97152412,-2.1,50.7,-0.38,4.192990381,5.855814201,11.42619973,0.534283422,-0.258261882,-0.308611854,12.34600415,0.799030941,-13.92077878,4.432498021,19.1241281
2022/12/31,0.6,0.9,0.5,5.6,-0.2,-0.136450686,-0.1,51.6,1.19,3.115244736,3.362419906,1.865099178,-3.138858454,-0.056549188,-0.845424437,-0.231428544,2.923746474,-6.305390927,5.208880955,1.72705555
2023/1/31,-0.1,-1.3,0.4,0.3,-0.3,-6.51427585,-1.2,52.2,-0.21,1.397843592,3.146566659,-4.425688853,-13.96947615,-12.69274007,-2.17208325,-5.593605593,2.0394735,-6.559023111,4.163827041,-5.379688854
2023/2/28,-0.6,-1.2,-0.3,-1.7,-0.4,-4.164584094,-5.3,54.4,-0.82,-1.911334339,-0.040516373,-5.562919655,-10.91453995,-10.15738435,-2.938436247,-8.283851598,2.224469014,-28.61063503,-1.57269528,-5.513650008
2023/3/31,-1.1,-2.9,-0.2,-5,-0.2,-6.696797556,0.4,50.9,-1.02,-1.04301466,0.173166405,-11.34471213,-17.90821047,-16.00887345,-5.52144881,-9.522322404,0.980410592,-27.0680277,-3.753179947,-11.79256725
2023/4/30,-1.1,-2.1,-0.8,-3.8,-0.5,-0.620655571,-1.7,46.4,-0.97,-2.877861759,-5.443645814,-3.38584245,15.28493884,10.23785522,-1.035635752,7.326219459,-0.930509392,10.75987367,0.309677536,-3.688613332
2023/5/31,-1,-1.4,-1,-3,-0.5,-4.966489654,-5.8,40.8,-0.99,-1.871227696,-2.759037813,-4.204357641,-14.79588526,-12.72348263,-0.204466221,8.032143688,-1.172254799,-8.824233592,1.273184618,-5.235527891
2023/6/30,-0.8,-1.8,-0.1,-4.7,-0.4,-1.073912632,-6.2,45,-0.7,-1.999000593,2.219632368,3.590905416,-6.184748152,-3.356731774,3.322516934,4.759670922,0.912993419,-11.85312128,5.078355749,1.793052189
2023/7/31,1,1.9,0.9,1.5,0.1,5.623492735,1.2,52.4,0.84,6.242700259,9.402790248,18.84812242,10.79057441,14.13866084,7.318930186,4.685646066,-1.624827646,4.860950922,19.49964058,15.77328631
2023/8/31,1.4,3.6,0.7,4.8,0.2,6.3576024,-3.1,56.5,1.26,3.548109478,-1.250508171,-0.851758603,15.06135851,12.56438247,-2.091472556,-1.796593865,-2.780598157,0.044618695,-7.604150483,-0.463688897
2023/9/30,0.5,1.2,0.3,2.5,-0.1,4.831656121,0.7,59.4,0.5,3.230655302,2.368764499,5.497645679,18.71486357,18.00576843,3.05379847,10.18910718,-4.246190911,-4.899619185,2.131160201,4.687490724
2023/10/31,-0.1,0.5,-0.2,1.2,-0.6,-3.501819378,-1.8,52.6,-0.23,-0.661470232,0.115831905,-3.275747443,-7.667517722,-8.746845969,0.453364445,-0.246719457,-2.313651273,-1.34618652,-2.845206939,-1.527501414
2023/11/30,-0.4,-0.9,-0.1,-1.1,-0.3,-0.683331704,0.5,50.7,-0.19,-0.227670078,6.212049908,-1.367061055,-6.190373293,-5.498627079,-2.761885751,-3.545573389,2.321252291,1.669619594,-2.226272553,-1.025566983
2023/12/31,0.3,0.4,-0.1,0.3,0,2.654459421,0.8,51.5,0.21,0.526377172,0.08795242,-3.458613884,5.188390463,1.514325423,-2.541469397,-2.390680391,4.875682082,6.942666068,-1.50232439,-3.226442319
2024/1/31,0.2,0.5,0.1,1,0.1,1.148051544,-0.4,50.4,0.07,-0.277496569,-3.06821686,-3.115147473,1.228444937,0.682417974,-0.620971107,-2.724759013,3.373347825,3.359427635,-7.037973613,-2.69692269
2024/2/29,-0.2,-1.1,-0.1,0.5,0.2,1.37309717,1.3,50.1,0.05,-1.614946821,-1.556044028,-1.116353563,4.39725798,5.106416325,2.54973586,1.241086814,-1.86747054,9.144580713,-0.611294045,-1.378849537
2024/3/31,-0.1,0.5,-0.4,-0.3,-0.1,1.02809762,4.9,50.5,-0.22,-0.436441602,-5.951709865,3.85258175,7.032732493,10.13938619,3.037366504,6.826738602,-2.801799733,-6.878864647,5.49442139,2.520351875
2024/4/30,0.3,1,0,1,0.1,1.607249765,-1.8,54,0.36,2.770704221,2.083707347,5.106026958,-3.143632306,-4.031311762,2.210442943,9.738833136,1.419526892,1.857066411,9.321683168,5.672068636
2024/5/31,1.1,2.4,1,3.6,0.1,5.23217213,1.2,56.9,0.81,4.983393516,6.731007175,9.668332075,2.912518217,3.718253292,0.712223774,6.497125858,6.658488726,12.45396023,15.25437869,11.60702478
